Product Name,Price
2008 Audi S4 Avant(wagon),9600
2014 Audi S4 custom 510HP!!!,34900
2012 Audi S4,19000
2010 Audi S4,13399
"2013 Audi S4!!! ONLY 43,XXXKMS, AWD, Fully Loaded!!!",100
*NEED GONE* 2012 Audi S4 Technik,20000
*NEED GONE* 2012 Audi S4 Technik,20000
2015 Audi S4 3.0T Progressiv Progressiv,31468
2013 Audi S4 (White with all Black interior),26500
2018 Audi S4 3.0T Technik Technik,54999
2018 Audi S4 3.0T Technik Technik,55999
2010 Audi S4 Quattro - Premium | Supercharged,21000
Audi S4 clean title S4,35000
2013 Audi S4 Technik,36000
"2011 AUDI S4 SEDAN - NEW 20"" RS5 WHEELS AND TIRES + 18""WINTER TIRE SET",18900
"2018 Audi S4 3.0T Technik quattro only 23,000 km Local No Accidents!!",47995
2011 Audi S4 Sedan 4D Quattro Prestige,15500
2014 Audi S4 Technik Quattro Sports Diff,38000
2004 Audi S4 -rare Manual transmission,11800
2012 Audi S4 3.0T quattro - Low Mileage #M14092A,25900
2000 Audi B5 S4,6500
2018 Audi S4 3.0T Technik Technik,54999
2018 Audi S4 3.0T Technik Technik,55999
"2015 Audi S4 quattro all wheel drive, 333hp, red nappa interior",31468
Mint Audi S4 Premium APR 455+ HP,30000
2004 Audi S4 Quattro,16000
"2004 Audi S4 AWD... Clean, No Accidents, Local, Low Km's, Fully Loaded",9000
SOLD 2013 Audi S4,37000
2013 audi s4,22000
2014 Audi S4 3.0 Technik,30999
2015 Audi S4 3.0T Progressiv Progressiv,31468
2010 Audi S4 3.0 Premium (S tronic) - W/ Audi Drive Select,25980
2018 Audi S4 3.0T Technik Technik,54999
2018 Audi S4 3.0T Technik Technik,55999
2013 Audi s4,25000
2014  Audi  S4 3.0 7sp S tronic Technik,29894
"2014 Audi S4 3.0 Technik💥Local💥Only 41,500 Kms",29800
SOLD!!!2011 Audi S4 3.0L SUPERCHARGED,0
Audi S4 Fully Loaded Technik Trim,42000
Audi S4 Black,34999
Audi S4 Black,34999
2016 Audi S4 2016 Audi S4 - 4dr Sdn Auto Technik plus *Guaranteed Credit Approva,40995
2011 Audi S4,18000
AUDI S4 CONVERTIBLE 340 HP,24800
"2011 AUDI S4 SEDAN - NEW 20"" RS5 WHEELS AND TIRES + 18""WINTER TIRE SET",18900
2015 Audi s4 *Parts car*,15000
2014 AUDI S4 TECHNIK QUATTRO,25900
2015 Audi S4 3.0T Progressiv Progressiv,31468
2018 Audi S4 3.0T Technik Technik,54999
2018 Audi S4 3.0T Technik Technik,55999
SOLD!!! 2011 Audi S4 3.0L SUPERCHARGED,0
2010 Audi S4,12000
"2011 AUDI S4 SEDAN - NEW 20"" RS5 WHEELS AND TIRES + 18""WINTER TIRE SET",18900
2013 Audi S4,25000
"2004 Audi S4 QUATTRO V8 ""manual""",11800
